Статистика по профессиям:
программист: 6 человек
учительница: 2 человек
водитель: 2 человек
медсестра: 3 человек
инженер: 3 человек
бухгалтер: 3 человек
спортсмен: 3 человек
дизайнер: 3 человек
строитель: 2 человек
продавец: 2 человек
врач: 2 человек
юрист: 1 человек
учитель: 1 человек
модель: 1 человек
архитектор: 1 человек
актриса: 1 человек
музыкант: 1 человек
журналист: 1 человек
Статистика по городам:
Минск: 5 человек
Москва: 1 человек
Новосибирск: 1 человек
Гродно: 4 человек
Казань: 1 человек
Витебск: 4 человек
Брест: 1 человек
Екатеринбург: 1 человек
Гомель: 2 человек
Нижний Новгород: 1 человек
Могилёв: 1 человек
Ростов-на-Дону: 1 человек
Калининград: 3 человек
Псков: 3 человек
Смоленск: 3 человек
Тверь: 3 человек
Брянск: 3 человек
Статистика по странам:
Беларусь: 17 человек
Россия: 21 человек
